id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,2.380347967147827,34,,Ratio hijos,13,Argentina,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,1.544141292572022,29,,Ratio calificación,15,Argentina,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,1.538941502571106,33,,Ratio hijos,13,Argentina,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,1.677317261695862,28,,Ratio calificación,15,Argentina,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,1.632865905761719,31,,Ratio situación conyugal,14,Argentina,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,1.684231162071228,30,,Ratio situación conyugal,14,Argentina,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,1.677932620048523,27,,Ratio calificación,15,Argentina,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,.9753332138061523,32,,Ratio hijos,13,Argentina,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,1.653073072433472,26,,Ratio mujeres/hombres,6,Argentina,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 0 a 5 años),CHL,ENUT 2015,2015,1.568856954574585,33,,Ratio hijos,13,Chile,"Porcentaje de la población que hace tareas domésticas, de cuidado u otras en otros hogares.",Participación en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
