id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,2.118898868560791,27,,Ratio calificación,15,Argentina,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,1.698691725730896,31,,Ratio situación conyugal,14,Argentina,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,1.48407256603241,29,,Ratio calificación,15,Argentina,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,,32,,Ratio hijos,13,Argentina,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,3.062356233596802,30,,Ratio situación conyugal,14,Argentina,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,1.513738036155701,33,,Ratio hijos,13,Argentina,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,1.665767073631287,28,,Ratio calificación,15,Argentina,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,2.052103281021118,34,,Ratio hijos,13,Argentina,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,1.761045813560486,26,,Ratio mujeres/hombres,6,Argentina,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (baja calificación),CHL,ENUT 2015,2015,1.149048924446106,27,,Ratio calificación,15,Chile,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (media calificación),CHL,ENUT 2015,2015,1.102850198745728,28,,Ratio calificación,15,Chile,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 6 años o más),CHL,ENUT 2015,2015,1.119625806808472,34,,Ratio hijos,13,Chile,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (en pareja),CHL,ENUT 2015,2015,1.081270813941956,31,,Ratio situación conyugal,14,Chile,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (alta calificación),CHL,ENUT 2015,2015,1.058750748634338,29,,Ratio calificación,15,Chile,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (solteros),CHL,ENUT 2015,2015,1.219536423683167,30,,Ratio situación conyugal,14,Chile,Porcentaje de la población que tiene responsabilidades de cuidar a niños u otros en el hogar.,Participación en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
