id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,,34,,Ratio hijos,13,Argentina,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,,30,,Ratio situación conyugal,14,Argentina,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,,31,,Ratio situación conyugal,14,Argentina,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,,33,,Ratio hijos,13,Argentina,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,,27,,Ratio calificación,15,Argentina,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,,32,,Ratio hijos,13,Argentina,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,,29,,Ratio calificación,15,Argentina,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,,26,,Ratio mujeres/hombres,6,Argentina,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,,28,,Ratio calificación,15,Argentina,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 0 a 5 años),CHL,ENUT 2015,2015,1.035988450050354,33,,Ratio hijos,13,Chile,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (baja calificación),CHL,ENUT 2015,2015,1.146745920181274,27,,Ratio calificación,15,Chile,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 6 años o más),CHL,ENUT 2015,2015,1.110398173332214,34,,Ratio hijos,13,Chile,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (alta calificación),CHL,ENUT 2015,2015,1.046297550201416,29,,Ratio calificación,15,Chile,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (solteros),CHL,ENUT 2015,2015,1.254531621932983,30,,Ratio situación conyugal,14,Chile,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (media calificación),CHL,ENUT 2015,2015,1.102453112602234,28,,Ratio calificación,15,Chile,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (en pareja),CHL,ENUT 2015,2015,1.074543833732605,31,,Ratio situación conyugal,14,Chile,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,ENUT 2015,2015,1.085901379585266,26,,Ratio mujeres/hombres,6,Chile,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (sin hijos),CHL,ENUT 2015,2015,,32,,Ratio hijos,13,Chile,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (sin hijos),COL,ENUT 2012-13,2012,,32,,Ratio hijos,13,Colombia,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (baja calificación),COL,ENUT 2012-13,2012,1.602722644805908,27,,Ratio calificación,15,Colombia,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (con hijos de 0 a 5 años),COL,ENUT 2012-13,2012,1.380871891975403,33,,Ratio hijos,13,Colombia,Porcentaje de la población que cuida a niños/as en el hogar (solo hogares con niños),Participación en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
