id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,-.0930255353450775,1,Total,1,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de alta calificación,ARG,,2000,-1.88411295413971,7,Calificación (mujeres),3,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Con hijos de 6 años o más,ARG,,2000,-.0056096212938428,4,Hijos,2,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Sin hijos,ARG,,2000,-.0312553606927395,2,Hijos,2,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de media calificación,ARG,,2000,-.5479608178138733,6,Calificación (mujeres),3,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Con hijos de 0 a 5 años,ARG,,2000,-.2764179408550263,3,Hijos,2,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de baja calificación,ARG,,2000,1.12270998954773,5,Calificación (mujeres),3,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Con hijos de 0 a 5 años,ARG,,2001,-.3187977969646454,3,Hijos,2,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres de baja calificación,ARG,,2001,1.027480363845825,5,Calificación (mujeres),3,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Con hijos de 6 años o más,ARG,,2001,-.095172680914402,4,Hijos,2,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,-.1600043624639511,1,Total,1,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres de alta calificación,ARG,,2001,-1.81382954120636,7,Calificación (mujeres),3,Argentina,Argentina,Diferencia de años de educación entre el hombre y la mujer de una pareja.,Brecha de educación entre cónyuges,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
