id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Jefe media calificación (mujer),ARG,,2000,.818494439125061,16,,Calificación (mujeres),9,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Jefe baja calificación (mujer),ARG,,2000,1.380861401557922,15,,Calificación (mujeres),9,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 0 a 5 años,ARG,,2000,.2936420440673828,10,,Hijos (hombres),8,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 6 años o más,ARG,,2000,12.8434419631958,8,,Hijos (mujeres),7,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Jefe alta calificación (hombre),ARG,,2000,2.724328279495239,14,,Calificación (hombres),10,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres sin hijos,ARG,,2000,,6,,Hijos (mujeres),7,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,15.42871475219727,21,,Mujer,2,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,15.42871475219727,2,,Género,4,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 6 años o más,ARG,,2000,2.183891773223877,11,,Hijos (hombres),8,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,17.90624809265137,1,,Total,1,Argentina,Argentina,Porcentaje de hogares con jefe/a e hijos/as pero sin cónyuge.,Hogares monoparentales,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
