id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,1.27550995349884,30,,Ratio situación conyugal,14,Argentina,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,.6552629470825195,32,,Ratio hijos,13,Argentina,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,1.295547604560852,31,,Ratio situación conyugal,14,Argentina,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,1.568831443786621,33,,Ratio hijos,13,Argentina,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,1.290580153465271,29,,Ratio calificación,15,Argentina,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,1.296204447746277,26,,Ratio mujeres/hombres,6,Argentina,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,1.123134851455689,27,,Ratio calificación,15,Argentina,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,2.51032280921936,34,,Ratio hijos,13,Argentina,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,1.480871796607971,28,,Ratio calificación,15,Argentina,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,ENUT 2015,2015,2.782275676727295,26,,Ratio mujeres/hombres,6,Chile,"Horas por semana de tareas domésticas, de cuidado u otras en otros hogares.",Horas en actividades de apoyo a otros hogares,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
