id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,3.655521154403687,27,,Ratio calificación,15,Argentina,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,4.365613460540772,30,,Ratio situación conyugal,14,Argentina,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,2.657618999481201,33,,Ratio hijos,13,Argentina,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,2.950212001800537,34,,Ratio hijos,13,Argentina,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,,32,,Ratio hijos,13,Argentina,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,2.652265071868897,28,,Ratio calificación,15,Argentina,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,2.730041265487671,31,,Ratio situación conyugal,14,Argentina,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,2.044830799102783,29,,Ratio calificación,15,Argentina,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,2.765899419784546,26,,Ratio mujeres/hombres,6,Argentina,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 0 a 5 años),CHL,ENUT 2015,2015,2.124192476272583,33,,Ratio hijos,13,Chile,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (en pareja),CHL,ENUT 2015,2015,1.981410384178162,31,,Ratio situación conyugal,14,Chile,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (alta calificación),CHL,ENUT 2015,2015,1.967430472373962,29,,Ratio calificación,15,Chile,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (solteros),CHL,ENUT 2015,2015,2.209885597229004,30,,Ratio situación conyugal,14,Chile,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (sin hijos),CHL,ENUT 2015,2015,,32,,Ratio hijos,13,Chile,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 6 años o más),CHL,ENUT 2015,2015,1.835779070854187,34,,Ratio hijos,13,Chile,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (media calificación),CHL,ENUT 2015,2015,1.990591764450073,28,,Ratio calificación,15,Chile,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,ENUT 2015,2015,1.932615518569946,26,,Ratio mujeres/hombres,6,Chile,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (baja calificación),CHL,ENUT 2015,2015,1.911768555641174,27,,Ratio calificación,15,Chile,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres,COL,ENUT 2012-13,2012,2.617919921875,26,,Ratio mujeres/hombres,6,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (con hijos de 0 a 5 años),COL,ENUT 2012-13,2012,2.861897706985474,33,,Ratio hijos,13,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (con hijos de 6 años o más),COL,ENUT 2012-13,2012,2.318130016326904,34,,Ratio hijos,13,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (baja calificación),COL,ENUT 2012-13,2012,2.959238052368164,27,,Ratio calificación,15,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (sin hijos),COL,ENUT 2012-13,2012,,32,,Ratio hijos,13,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (en pareja),COL,ENUT 2012-13,2012,2.578938961029053,31,,Ratio situación conyugal,14,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (media calificación),COL,ENUT 2012-13,2012,2.509724855422974,28,,Ratio calificación,15,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (solteros),COL,ENUT 2012-13,2012,4.536398887634277,30,,Ratio situación conyugal,14,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (alta calificación),COL,ENUT 2012-13,2012,1.947380661964417,29,,Ratio calificación,15,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2016,Ratio mujeres/hombres (en pareja),COL,ENUT 2016-17,2016,2.390129566192627,31,,Ratio situación conyugal,14,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2016,Ratio mujeres/hombres (con hijos de 6 años o más),COL,ENUT 2016-17,2016,2.155399799346924,34,,Ratio hijos,13,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2016,Ratio mujeres/hombres (baja calificación),COL,ENUT 2016-17,2016,2.726019382476807,27,,Ratio calificación,15,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2016,Ratio mujeres/hombres (sin hijos),COL,ENUT 2016-17,2016,,32,,Ratio hijos,13,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2016,Ratio mujeres/hombres (solteros),COL,ENUT 2016-17,2016,3.860881805419922,30,,Ratio situación conyugal,14,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2016,Ratio mujeres/hombres (media calificación),COL,ENUT 2016-17,2016,2.394546985626221,28,,Ratio calificación,15,Colombia,Horas semanales promedio dedicadas al cuidado de niños u otros en el hogar,Horas en actividades de cuidado,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
