id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,,32,,Ratio hijos,13,Argentina,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,,33,,Ratio hijos,13,Argentina,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,,34,,Ratio hijos,13,Argentina,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,,31,,Ratio situación conyugal,14,Argentina,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,,28,,Ratio calificación,15,Argentina,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,,27,,Ratio calificación,15,Argentina,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,,29,,Ratio calificación,15,Argentina,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,,26,,Ratio mujeres/hombres,6,Argentina,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,,30,,Ratio situación conyugal,14,Argentina,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (en pareja),CHL,ENUT 2015,2015,1.948364496231079,31,,Ratio situación conyugal,14,Chile,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (baja calificación),CHL,ENUT 2015,2015,2.029096364974976,27,,Ratio calificación,15,Chile,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 6 años o más),CHL,ENUT 2015,2015,1.759951949119568,34,,Ratio hijos,13,Chile,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (media calificación),CHL,ENUT 2015,2015,1.97013795375824,28,,Ratio calificación,15,Chile,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (solteros),CHL,ENUT 2015,2015,2.646882772445679,30,,Ratio situación conyugal,14,Chile,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (sin hijos),CHL,ENUT 2015,2015,,32,,Ratio hijos,13,Chile,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 0 a 5 años),CHL,ENUT 2015,2015,2.101885557174683,33,,Ratio hijos,13,Chile,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (alta calificación),CHL,ENUT 2015,2015,1.928165793418884,29,,Ratio calificación,15,Chile,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,ENUT 2015,2015,1.913606405258179,26,,Ratio mujeres/hombres,6,Chile,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (sin hijos),COL,ENUT 2012-13,2012,,32,,Ratio hijos,13,Colombia,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (baja calificación),COL,ENUT 2012-13,2012,2.897473335266113,27,,Ratio calificación,15,Colombia,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (solteros),COL,ENUT 2012-13,2012,4.508315563201904,30,,Ratio situación conyugal,14,Colombia,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres,COL,ENUT 2012-13,2012,2.571171522140503,26,,Ratio mujeres/hombres,6,Colombia,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (con hijos de 6 años o más),COL,ENUT 2012-13,2012,2.258082628250122,34,,Ratio hijos,13,Colombia,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres (media calificación),COL,ENUT 2012-13,2012,2.461734533309937,28,,Ratio calificación,15,Colombia,Horas semanales promedio dedicadas al cuidado de niños/as en el hogar (solo hogares con niños).,Horas en actividades de cuidado de niños/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
