id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Sin hijos,ARG,,2000,4.243663787841797,2,Hijos,2,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Con hijos de 6 años o más,ARG,,2000,1.842647671699524,4,Hijos,2,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Jefe alta calificación,ARG,,2000,2.622993469238281,7,Calificación,3,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Con hijos de 0 a 5 años,ARG,,2000,.9845693111419678,3,Hijos,2,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Jefe media calificación,ARG,,2000,1.376594305038452,6,Calificación,3,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,1.911161541938782,1,Total,1,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Jefe baja calificación,ARG,,2000,2.034059286117554,5,Calificación,3,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Con hijos de 6 años o más,ARG,,2001,2.033982515335083,4,Hijos,2,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Jefe alta calificación,ARG,,2001,2.955281734466553,7,Calificación,3,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Sin hijos,ARG,,2001,3.250200748443604,2,Hijos,2,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Jefe baja calificación,ARG,,2001,1.993908047676086,5,Calificación,3,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Jefe media calificación,ARG,,2001,1.278544306755066,6,Calificación,3,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,1.92797315120697,1,Total,1,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Con hijos de 0 a 5 años,ARG,,2001,1.186586022377014,3,Hijos,2,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Con hijos de 0 a 5 años,ARG,,2002,1.396970868110657,3,Hijos,2,Argentina,Argentina,Porcentaje de hogares donde la mujer gana más que el hombre.,Jefatura de hogar femenina económica,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
