id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Mujeres de alta calificación,ARG,,2000,35.34704208374023,18,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de media calificación,ARG,,2000,77.32655334472656,20,,Calificación (hombres),12,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,24.06379699707031,22,,Mujer,2,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,-53.19582366943359,4,.86971104,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 0 a 5 años,ARG,,2000,82.98440551757813,10,,Hijos (hombres),8,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de media calificación,ARG,,2000,21.60256195068359,17,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,24.06379699707031,2,,Género,4,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de baja calificación,ARG,,2000,79.26297760009766,19,,Calificación (hombres),12,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,77.25962066650391,23,,Hombre,3,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,77.25962066650391,3,,Género,4,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de alta calificación,ARG,,2000,72.75351715087891,21,,Calificación (hombres),12,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres sin hijos,ARG,,2000,35.12500381469727,6,,Hijos (mujeres),7,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de baja calificación,ARG,,2000,20.08227729797363,16,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje del ingreso laboral de la pareja aportado por cada cónyuge.,Participación en el ingreso laboral de la pareja,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
